EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7250923854000,MATCHED,267,7250923854000,267,8839140229000,7250923850000,4000,0.004000
7250957171000,MATCHED,268,7250957171000,268,8839173547000,7250957168000,3000,0.003000
7250990488000,MATCHED,269,7250990488000,269,8839206866000,7250990487000,1000,0.001000
7251023804000,MATCHED,270,7251023804000,270,8839240185000,7251023806000,-2000,-0.002000
7251057125000,MATCHED,271,7251057125000,271,8839273503000,7251057124000,1000,0.001000
7251090446000,MATCHED,272,7251090446000,272,8839306821000,7251090442000,4000,0.004000
7251123762000,MATCHED,273,7251123762000,273,8839340140000,7251123761000,1000,0.001000
7251157084000,MATCHED,274,7251157084000,274,8839373460000,7251157081000,3000,0.003000
7251190399000,MATCHED,275,7251190399000,275,8839406777000,7251190398000,1000,0.001000
7251223722000,MATCHED,276,7251223722000,276,8839440095000,7251223716000,6000,0.006000
7251257039000,MATCHED,277,7251257039000,277,8839473413000,7251257034000,5000,0.005000
7251290359000,MATCHED,278,7251290359000,278,8839506732000,7251290353000,6000,0.006000
7251323673000,MATCHED,279,7251323673000,279,8839540051000,7251323672000,1000,0.001000
7251356992000,MATCHED,280,7251356992000,280,8839573369000,7251356990000,2000,0.002000
7251390315000,MATCHED,281,7251390315000,281,8839606688000,7251390309000,6000,0.006000
7251423629000,MATCHED,282,7251423629000,282,8839640021000,7251423642000,-13000,-0.013000
7251456950000,MATCHED,283,7251456950000,283,8839673324000,7251456945000,5000,0.005000
7251490268000,MATCHED,284,7251490268000,284,8839706643000,7251490264000,4000,0.004000
7251523593000,MATCHED,285,7251523593000,285,8839739961000,7251523582000,11000,0.011000
7251556907000,MATCHED,286,7251556907000,286,8839773280000,7251556901000,6000,0.006000
7251590224000,MATCHED,287,7251590224000,287,8839806598000,7251590219000,5000,0.005000
7251623545000,MATCHED,288,7251623545000,288,8839839917000,7251623538000,7000,0.007000
7251656862000,MATCHED,289,7251656862000,289,8839873235000,7251656856000,6000,0.006000
7251690179000,MATCHED,290,7251690179000,290,8839906554000,7251690175000,4000,0.004000
7251723501000,MATCHED,291,7251723501000,291,8839939872000,7251723493000,8000,0.008000
7251756814000,MATCHED,292,7251756814000,292,8839973190000,7251756811000,3000,0.003000
7251790133000,MATCHED,293,7251790133000,293,8840006509000,7251790130000,3000,0.003000
7251823452000,MATCHED,294,7251823452000,294,8840039828000,7251823449000,3000,0.003000
7251856770000,MATCHED,295,7251856770000,295,8840073146000,7251856767000,3000,0.003000
7251890092000,MATCHED,296,7251890092000,296,8840106464000,7251890085000,7000,0.007000
7251923409000,MATCHED,297,7251923409000,297,8840139783000,7251923404000,5000,0.005000
7251956725000,MATCHED,298,7251956725000,298,8840173101000,7251956722000,3000,0.003000
7251990045000,MATCHED,299,7251990045000,299,8840206421000,7251990042000,3000,0.003000
7252023366000,MATCHED,300,7252023366000,300,8840239738000,7252023359000,7000,0.007000
7252056684000,MATCHED,301,7252056684000,301,8840273057000,7252056678000,6000,0.006000
7252090003000,MATCHED,302,7252090003000,302,8840306374000,7252089995000,8000,0.008000
7252123321000,MATCHED,303,7252123321000,303,8840339693000,7252123314000,7000,0.007000
7252156636000,MATCHED,304,7252156636000,304,8840373012000,7252156633000,3000,0.003000
7252189959000,MATCHED,305,7252189959000,305,8840406334000,7252189955000,4000,0.004000
7252223278000,MATCHED,306,7252223278000,306,8840439652000,7252223273000,5000,0.005000
7252256594000,MATCHED,307,7252256594000,307,8840472966000,7252256587000,7000,0.007000
7252289914000,MATCHED,308,7252289914000,308,8840506285000,7252289906000,8000,0.008000
7252323230000,MATCHED,309,7252323230000,309,8840539603000,7252323224000,6000,0.006000
7252356552000,MATCHED,310,7252356552000,310,8840572923000,7252356544000,8000,0.008000
7252389866000,MATCHED,311,7252389866000,311,8840606242000,7252389863000,3000,0.003000
7252423187000,MATCHED,312,7252423187000,312,8840639560000,7252423181000,6000,0.006000
7252456504000,MATCHED,313,7252456504000,313,8840672879000,7252456500000,4000,0.004000
7252489819000,MATCHED,314,7252489819000,314,8840706197000,7252489818000,1000,0.001000
7252523146000,MATCHED,315,7252523146000,315,8840739516000,7252523137000,9000,0.009000
7252556460000,MATCHED,316,7252556460000,316,8840772834000,7252556455000,5000,0.005000
7252589779000,MATCHED,317,7252589779000,317,8840806153000,7252589774000,5000,0.005000
7252623095000,MATCHED,318,7252623095000,318,8840839471000,7252623092000,3000,0.003000
7252656414000,MATCHED,319,7252656414000,319,8840872790000,7252656411000,3000,0.003000
7252689732000,MATCHED,320,7252689732000,320,8840906108000,7252689729000,3000,0.003000
